,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2,8,2,8,1,1,7,2,4,6,0,8,2,4,2,1,0,2,dikesnet
1,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,2,8,2,8,1,1,7,2,4,6,0,8,2,4,2,1,1,2,dikesnet
2,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,2,2,2,9,7,0,0,0,8,9,1,10,10,4,1,0,3,dikesnet
3,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,2,2,2,9,7,0,0,0,8,9,1,10,10,4,1,1,3,dikesnet
4,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,4,1,3,5,3,0,3,6,6,0,5,10,3,10,4,5,0,5,dikesnet
5,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,4,1,3,5,3,0,3,6,6,0,5,10,3,10,4,5,1,5,dikesnet
6,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,2,1,1,1,6,7,3,7,10,3,2,1,6,6,4,7,0,7,dikesnet
7,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,2,1,1,1,6,7,3,7,10,3,2,1,6,6,4,7,1,7,dikesnet
8,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,3,7,0,9,6,1,6,2,2,10,3,10,4,6,0,8,dikesnet
9,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6,3,7,0,9,6,1,6,2,2,10,3,10,4,6,1,8,dikesnet
10,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,2,8,0,9,0,10,3,1,0,10,6,10,0,8,0,1,0,9,dikesnet
11,54,122.33469099411178,10,0.0725992485618221,146.2913467912485,1.0,0.2947624904747822,257.00049978858874,10,0.11361385327937185,44.24972359004652,1.0,0.3045470854326662,270.206501817319,1.0,0.06283359543994543,2.5,4.5,2.5,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,2,8,0,9,0,10,3,1,0,10,6,10,0,8,0,1,1,9,dikesnet
12,98,332.6661773550088,1.0,0.5711587485342093,303.5261048612674,10,0.5474087095099853,107.87035164984465,1.0,0.765116506174552,323.2183053112616,10,0.9952878418546142,50.46034435129659,1.5,0.8979057046650211,3.5,1.5,4.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,7,0,9,3,7,0,8,7,7,10,10,5,5,2,2,0,11,dikesnet
